Username,Stimuli.Cue,affordance_parsed,word,lemma,POS,Group
cas2024CS,reindeer,flying,flying,fly,VERB,USA
cas2024CS,reindeer,delivering,delivering,deliver,VERB,USA
cas2024CS,reindeer,riding,riding,ride,VERB,USA
cas2024CS,reindeer,carrying,carrying,carry,VERB,USA
cas2024CS,reindeer,transporting,transporting,transport,VERB,USA
cas2024CS,appraiser,inspecting,inspecting,inspect,VERB,USA
cas2024CS,appraiser,appraising,appraising,appraise,VERB,USA
cas2024CS,appraiser,determining ,determining,determine,VERB,USA
cas2024CS,bedroom,laying,laying,lay,VERB,USA
cas2024CS,bedroom,playing,playing,play,VERB,USA
cas2024CS,bedroom,relaxing,relaxing,relax,VERB,USA
cas2024CS,bedroom,working,working,work,VERB,USA
cas2024CS,bedroom,cleaning,cleaning,clean,VERB,USA
cas2024CS,bedroom,escaping,escaping,escape,VERB,USA
cas2024CS,bedroom,sleeping,sleeping,sleep,VERB,USA
cas2024CS,bedroom,reading,reading,read,VERB,USA
cas2024CS,bedroom,watching tv,watching,watch,VERB,USA
cas2024CS,bedroom,watching tv,tv,tv,X,USA
cas2024CS,film,watching,watching,watch,VERB,USA
cas2024CS,film,observing,observing,obserive,VERB,USA
cas2024CS,film,appreciating,appreciating,appreciate,VERB,USA
cas2024CS,film,studying,studying,study,VERB,USA
cas2024CS,film,examining,examining,examine,VERB,USA
cas2024CS,buoy,floating,floating,float,VERB,USA
cas2024CS,buoy,boating,boating,boate,VERB,USA
cas2024CS,buoy,marking,marking,mark,VERB,USA
cas2024CS,buoy,swimming,swimming,swimm,VERB,USA
cas2024CS,washcloth,washing,washing,wash,VERB,USA
cas2024CS,washcloth,cleaning,cleaning,clean,VERB,USA
cas2024CS,washcloth,drying,drying,dry,VERB,USA
cas2024CS,washcloth,dusting,dusting,dust,VERB,USA
cas2024CS,washcloth,rinsing,rinsing,rinse,VERB,USA
cas2024CS,sage,cleansing,cleansing,cleanse,VERB,USA
cas2024CS,sage,cleaning,cleaning,clean,VERB,USA
cas2024CS,sage,drinking,drinking,drink,VERB,USA
cas2024CS,sage,seasoning,seasoning,season,VERB,USA
cas2024CS,sage,healing,healing,heal,VERB,USA
cas2024CS,bonbon,eating,eating,eat,VERB,USA
cas2024CS,bonbon,melting,melting,melt,VERB,USA
cas2024CS,bonbon,enjoying,enjoying,enjoy,VERB,USA
cas2024CS,baseball,throwing,throwing,throw,VERB,USA
cas2024CS,baseball,bouncing,bouncing,bounce,VERB,USA
cas2024CS,baseball,batting,batting,batt,VERB,USA
cas2024CS,baseball,catching,catching,catch,VERB,USA
cas2024CS,baseball,pitching,pitching,pitch,VERB,USA
cas2024CS,baseball,hitting,hitting,hit,VERB,USA
cas2024CS,baseball,grabbing,grabbing,grab,VERB,USA
cas2024CS,drawing,decorating,decorating,decorate,VERB,USA
cas2024CS,drawing,calming,calming,calme,VERB,USA
cas2024CS,drawing,fun,fun,fun,NOUN,USA
cas2024CS,drawing,relaxing,relaxing,relax,VERB,USA
cas2024CS,drawing,comforting,comforting,comforte,ADJ,USA
cas2024CS,cadet,learning,learning,learn,VERB,USA
cas2024CS,cadet,teaching,teaching,teach,VERB,USA
cas2024CS,straw,sucking,sucking,suck,VERB,USA
cas2024CS,straw,blowing,blowing,blow,VERB,USA
cas2024CS,straw,cutting up,cutting,cut,VERB,USA
cas2024CS,straw,playing,playing,play,VERB,USA
cas2024CS,straw,drinking,drinking,drink,VERB,USA
cas2024CS,straw,decorating,decorating,decorate,VERB,USA
cas2024CS,mango,eating,eating,eat,VERB,USA
cas2024CS,mango,cooking,cooking,cook,VERB,USA
cas2024CS,mango,baking,baking,bake,VERB,USA
cas2024CS,mango,juicing,juicing,juice,VERB,USA
cas2024CS,mango,drinking,drinking,drink,VERB,USA
cas2024CS,mango,freezing,freezing,freeze,VERB,USA
cas2024CS,mango,refrigerating ,refrigerating,refrigerat,VERB,USA
cas2024CS,senorita,learning ,learning,learn,VERB,USA
cas2024CS,luggage,packing,packing,pack,VERB,USA
cas2024CS,luggage,carrying,carrying,carry,VERB,USA
cas2024CS,luggage,storing,storing,store,VERB,USA
cas2024CS,luggage,organizing,organizing,organize,VERB,USA
cas2024CS,luggage,travelling,traveling,travel,VERB,USA
cas2024CS,luggage,exploring,exploring,explore,VERB,USA
cas2024CS,luggage,holding,holding,hold,VERB,USA
cas2024CS,luggage,rolling,rolling,roll,VERB,USA
cas2024CS,hairpiece,decorating,decorating,decorate,VERB,USA
cas2024CS,hairpiece,accessorizing,accessorizing,accessorize,VERB,USA
cas2024CS,mannequin,decorating,decorating,decorate,VERB,USA
cas2024CS,mannequin,arranging,arranging,arrange,VERB,USA
cas2024CS,mannequin,dressing,dressing,dress,VERB,USA
cas2024CS,mannequin,marketing,marketing,market,VERB,USA
cas2024CS,mannequin,selling,selling,sell,VERB,USA
cas2024CS,fabric,weaving,weaving,weave,VERB,USA
cas2024CS,fabric,tailoring,tailoring,tailor,VERB,USA
cas2024CS,fabric,sewing,sewing,sew,VERB,USA
cas2024CS,fabric,making,making,make,VERB,USA
cas2024CS,fabric,decorating,decorating,decorate,VERB,USA
cas2024CS,termite,exterminating,exterminating,exterminate,VERB,USA
cas2024CS,dime,spending,spending,spend,VERB,USA
cas2024CS,dime,collecting,collecting,collect,VERB,USA
cas2024CS,dime,saving,saving,save,VERB,USA
cas2024CS,dime,rolling,rolling,roll,VERB,USA
cas2024CS,dime,investing,investing,invest,VERB,USA
cas2024CS,pajama,sleeping,sleeping,sleep,VERB,USA
cas2024CS,pajama,relaxing,relaxing,relax,VERB,USA
cas2024CS,pajama,lounging,lounging,lounge,VERB,USA
cas2024CS,pajama,laying down,laying,lay,VERB,USA
cas2024CS,handshake,making,making,make,VERB,USA
cas2024CS,handshake,friendship,friendship,friendship,NOUN,USA
cas2024CS,handshake,fun,fun,fun,NOUN,USA
cas2024CS,handshake,meeting,meeting,meet,VERB,USA
cas2024CS,handshake,acquainting,acquainting,acquaint,VERB,USA
cas2024CS,bobsleigh,sleighing,sleighing,sleigh,VERB,USA
cas2024CS,bobsleigh,sledding,sledding,sled,VERB,USA
cas2024CS,bobsleigh,riding,riding,ride,VERB,USA
cas2024CS,cowskin,decorating,decorating,decorate,VERB,USA
cas2024CS,cowskin,processing,processing,process,VERB,USA
cas2024CS,cowskin,designing,designing,designe,VERB,USA
cas2024CS,hose,watering,watering,wate,VERB,USA
cas2024CS,hose,fun,fun,fun,NOUN,USA
cas2024CS,hose,sprinkler,sprinkler,sprinkler,NOUN,USA
cas2024CS,hose,washing,washing,wash,VERB,USA
cas2024CS,hose,cleaning ,cleaning,clean,VERB,USA
cas2024CS,sculpture,looking,looking,look,VERB,USA
cas2024CS,sculpture,admiring,admiring,admir,VERB,USA
cas2024CS,sculpture,art,art,art,NOUN,USA
cas2024CS,sculpture,expressing,expressing,express,VERB,USA
cas2024CS,sculpture,examining,examining,examine,VERB,USA
cas2024CS,sculpture,studying,studying,study,VERB,USA
cas2024CS,outlet,charging,charging,charge,VERB,USA
cas2024CS,outlet,plugging,plugging,plugge,VERB,USA
cas2024CS,gazebo,relaxing,relaxing,relax,VERB,USA
cas2024CS,gazebo,building,building,build,VERB,USA
cas2024CS,gazebo,cooling down,cooling,cool,VERB,USA
cas2024CS,balloon,popping,popping,pop,VERB,USA
cas2024CS,balloon,inflating,inflating,inflate,VERB,USA
cas2024CS,balloon,sucking,sucking,suck,VERB,USA
cas2024CS,balloon,blowing,blowing,blow,VERB,USA
cas2024CS,balloon,decorating,decorating,decorate,VERB,USA
cas2024CS,balloon,surprise,surprise,surprise,VERB,USA
cas2024CS,balloon,fun,fun,fun,NOUN,USA
cas2024CS,balloon,playing,playing,play,VERB,USA
cas2024CS,magician,watching,watching,watch,VERB,USA
cas2024CS,magician,learning,learning,learn,VERB,USA
cas2024CS,magician,wondering,wondering,wonder,VERB,USA
cas2024CS,magician,fun,fun,fun,NOUN,USA
cas2024CS,magician,birthday,birthday,birthday,NOUN,USA
cas2024CS,magician,magic,magic,magic,NOUN,USA
J00641914PS,trailer,move things,move,move,VERB,USA
J00641914PS,trailer,move things,things,thing,NOUN,USA
J00641914PS,trailer,carry things,carry,carry,VERB,USA
J00641914PS,trailer,carry things,things,thing,NOUN,USA
J00641914PS,trailer,a movie ,movie,movie,NOUN,USA
J00641914PS,cymbals,make music,make,make,VERB,USA
J00641914PS,cymbals,make music,music,music,NOUN,USA
J00641914PS,fingertip,poking,poking,pok,VERB,USA
J00641914PS,fingertip,pointing,pointing,point,VERB,USA
J00641914PS,nettle,treatment,treatment,treatment,NOUN,USA
J00641914PS,chalet,stay in,stay,stay,VERB,USA
J00641914PS,mouthpiece,protect,protect,protect,VERB,USA
J00641914PS,piglet,nurture,nurture,nurture,VERB,USA
J00641914PS,piglet,feed,feed,feed,VERB,USA
J00641914PS,piglet,care for,care,care,VERB,USA
J00641914PS,bookshelf,store books,store,store,VERB,USA
J00641914PS,bookshelf,store books,books,book,NOUN,USA
J00641914PS,bra,secure,secure,secure,VERB,USA
J00641914PS,banana,eat,eat,eat,VERB,USA
J00641914PS,banana,provide nutrients,provide,provide,VERB,USA
J00641914PS,banana,provide nutrients,nutrients,nutrient,NOUN,USA
J00641914PS,tearoom,drink tea,drink,drink,VERB,USA
J00641914PS,tearoom,drink tea,tea,tea,NOUN,USA
J00641914PS,igloo,keep safe,keep,keep,VERB,USA
J00641914PS,igloo,keep safe,safe,safe,ADJ,USA
J00641914PS,igloo,warm,warm,warm,ADJ,USA
J00641914PS,bacon,eat,eat,eat,VERB,USA
J00641914PS,prostitute,seduce,seduce,seduce,VERB,USA
J00641914PS,prostitute,entertain,entertain,entertain,ADJ,USA
J00641914PS,item,anything,anything,anything,PRON,USA
J00641914PS,moccasin,protect the feet,protect,protect,VERB,USA
J00641914PS,moccasin,protect the feet,feet,foot,NOUN,USA
J00641914PS,chihuahua,to love,love,love,NOUN,USA
J00641914PS,chihuahua,guard ,guard,guard,NOUN,USA
J00641914PS,paw,shake,shake,shake,VERB,USA
J00641914PS,earmuff,keep warm,keep,keep,VERB,USA
J00641914PS,earmuff,keep warm,warm,warm,ADJ,USA
J00641914PS,strap,protection,protection,protect,VERB,USA
J00641914PS,pond,swim,swim,swim,NOUN,USA
J00641914PS,pond,fish ,fish,fish,VERB,USA
J00641914PS,potboiler,cook,cook,cake,VERB,USA
J00641914PS,cement,secure,secure,secure,VERB,USA
J00641914PS,sportswoman,speak upon sports,speak,speak,VERB,USA
J00641914PS,sportswoman,speak upon sports,upon,upon,ADP,USA
J00641914PS,sportswoman,speak upon sports,sports,sport,NOUN,USA
J00641914PS,camisole,cover,cover,cover,VERB,USA
J00641914PS,employee,work,work,work,VERB,USA
J00641914PS,employee,lead,lead,lead,VERB,USA
J00641914PS,crewman,work,work,work,VERB,USA
J00641914PS,mask,to wear,wear,wear,VERB,USA
J00641914PS,script,read,read,read,VERB,USA
J00641914PS,script,write,write,write,VERB,USA
J00641914PS,journalist,write stories,write,write,VERB,USA
J00641914PS,journalist,write stories,stories,story,NOUN,USA
J00656083_acs,trigger,pulled,pulled,pull,VERB,USA
J00656083_acs,trigger,set off,set,set,VERB,USA
J00656083_acs,trigger,snapped,snapped,snap,VERB,USA
J00656083_acs,trigger,cut,cut,cut,VERB,USA
J00656083_acs,grandchild,held,held,hold,VERB,USA
J00656083_acs,grandchild,pat,pat,pat,VERB,USA
J00656083_acs,grandchild,hugged,hugged,hug,VERB,USA
J00656083_acs,grandchild,carried,carried,carry,VERB,USA
J00656083_acs,grandchild,played,played,play,VERB,USA
J00656083_acs,grandchild,cuddled,cuddled,cuddle,VERB,USA
J00656083_acs,stepdaughter,loved,loved,love,VERB,USA
